player_name,team_name,player_season_minutes,primary_position,player_season_np_xg_per_shot,player_season_np_xg_90,player_season_np_shots_90,player_season_goals_90,player_season_obv_pass_90,player_season_op_xa_90,player_season_op_key_passes_90,player_season_touches_inside_box_90,player_season_obv_dribble_carry_90,player_season_turnovers_90,player_season_padj_pressures_90,player_season_aerial_wins_90,player_season_counterpressure_regains_90,through balls received,player_season_90s_played,through balls received per 90,xGChain,mean_shot_time
Tshegofatso Mabasa,Swallows FC,1193.3833,Right Centre Forward,0.1121727444908835,0.18611123,1.6591485,0.45249504,-0.060129803,0.06321428,0.9049901,4.374119,-0.04466283,3.4691286,15.489402,1.8099802,0.22624752,10.0,13.259814,0.7541583916637141,0.36,0.387266667683919
Menzi Banele Ndwandwe,Chippa United FC,339.1667,Centre Forward,0.0581201985478401,0.12338046,2.12285,0.0,-0.21626975,0.008924654,0.26535624,7.6953316,-0.031930987,4.2457,18.512928,4.2457,0.5307125,,,,0.24,0.0434999863306681
Justice Figuaredo,Richards Bay FC,781.0666,Centre Forward,0.0883526518231346,0.21379294,2.419768,0.11522705,-0.010479577,0.104052566,0.9218164,5.300444,0.04211322,5.991807,17.312857,1.1522706,0.0,1.0,8.678517,0.1152270601071588,0.54,0.61858332157135
Samir Nurkovic,TS Galaxy FC,436.95,Centre Forward,0.1618072069608248,0.4332634,2.677652,0.8238929,0.0016636526,0.022559235,0.41194645,5.355304,-0.027597241,5.76725,16.445574,5.14933,0.41194645,,,,,0.278166671593984
Elmo Kambindu,Chippa United FC,486.86667,Centre Forward,0.1189717054367065,0.26391095,2.2182665,0.5545666,-0.05750804,0.059394296,1.1091332,6.1002326,-0.06989776,5.7305217,23.076794,3.3273997,0.0,4.0,5.40963,0.7394221046541076,,0.178166647752126
Khanyisa Mayo,Cape Town City FC,1102.7,Centre Forward,0.1330726363442161,0.35841638,2.6933892,0.4897071,-0.012386274,0.049984723,0.57132494,4.6522174,-0.0013117065,2.6933892,10.57497,3.0198605,0.08161785,15.0,12.252222,1.2242677287434067,0.59,0.162599980831146
Douglas Mapfumo,Polokwane City,1003.7833,Centre Forward,0.0648094001023665,0.13364981,2.062198,0.17932157,-0.052609496,0.08427934,1.2552509,5.6486297,0.0029813373,3.4967709,10.4871,5.2899866,0.35864314,9.0,11.153148,0.8069470610450072,0.41,0.360624969005585
Chibuike Ohizu,Sekhukhune United,1188.35,Centre Forward,0.120456592241923,0.27368435,2.272058,0.30294105,-0.034345135,0.058605123,1.0602938,5.377204,-0.058379862,4.1654396,14.47162,3.0294106,0.5301469,9.0,13.203889,0.6816173628845259,0.45,0.369099974632263
Sede Junior Dion,AmaZulu FC,590.2834,Centre Forward,0.1235409612240998,0.43323225,3.5067902,0.3049383,-0.027966928,0.028966364,0.6098766,6.4037037,-0.00011985479,1.9820988,12.00462,3.9641976,0.3049383,3.0,6.5587044,0.4574074111344308,0.63,0.066928574017116
Sedwyn Curtis George,Royal AM FC,391.01666,Centre Forward,0.0576436031948436,0.14594561,2.5318615,0.0,-0.06058509,0.09998448,1.3810153,6.214569,-0.06552659,2.7620306,15.855612,3.4525385,0.23016922,6.0,4.34463,1.381015184261951,,0.0103332996368408
Lungelo Nguse,Lamontville Golden Arrows FC,533.0833,Centre Forward,0.2278255091773139,0.34617227,1.5194623,0.6753166,-0.045880858,0.0040943683,0.16882914,2.8700955,-0.0005855837,4.5583873,13.907177,6.2466784,0.16882914,4.0,5.923148,0.675316571525817,0.57,0.0253333250681559
Joaquim Cristóvão Paciência,Cape Town City FC,542.76666,Centre Forward,0.0706827129636492,0.16408564,2.3214395,0.16581711,-0.07114136,0.011761406,0.49745134,4.8086963,0.03221138,2.6530738,15.008212,0.9949027,0.33163422,8.0,6.0307407,1.3265368879149455,,
Ronaldo Claudio Maarman,Chippa United FC,902.9667,Centre Forward,0.1144815444946289,0.28526354,2.4917862,0.1993429,-0.011587356,0.04419173,0.69770014,4.584887,0.008785512,4.7842298,23.537725,0.49835724,0.69770014,3.0,10.032963,0.299014358968532,0.42,0.324999988079071
Yanela Xolisani Mbuthuma,Richards Bay FC,756.38336,Centre Forward,0.0773781935373942,0.16572638,2.141771,0.0,-0.080847315,0.14291576,1.6658219,6.9012623,-0.027420526,4.8784785,15.446721,3.807593,0.47594914,5.0,8.40426,0.5949363775037897,,0.147846130224375
Lesiba William Nku,Mamelodi Sundowns FC,426.53333,Right Centre Forward,0.1509171832691539,0.3502845,2.3210378,0.4220069,0.06595631,0.13321275,1.0550172,5.697093,0.1137853,2.7430446,27.866875,0.4220069,0.6330103,8.0,4.7392592,1.6880275297033764,0.69,
Etiosa Godspower Ighodaro,SuperSport United FC,640.73334,Centre Forward,0.1286944813198513,0.48807758,3.792529,0.5618562,-0.012665107,0.16792053,1.5451046,7.4445944,0.15852264,3.3711371,20.012093,8.989699,0.42139214,,,,0.81,0.0882857356752668
Ranga Piniel Chivaviro,Kaizer Chiefs FC,540.0,Centre Forward,0.0725932791829109,0.19358209,2.6666665,0.3333333,-0.05915353,0.015644388,0.3333333,5.166667,-0.03452784,2.5,15.188055,2.6666665,0.3333333,4.0,6.0,0.6666666666666666,,0.363499959309896
Efmamjjasond González Palacios,Kaizer Chiefs FC,338.36667,Centre Forward,0.0493137180805206,0.065583214,1.3299181,0.0,-0.056671914,0.0697704,0.7979509,4.7877054,0.004373716,4.2557383,19.555185,1.5959018,0.5319673,3.0,3.7596297,0.7979509258584695,0.22,
Therlo Moosa,Cape Town Spurs,1013.0334,Centre Forward,0.0975665829398415,0.1906964,1.9545258,0.17768417,-0.108816445,0.011316192,0.44421044,6.39663,-0.06536787,3.6425257,18.051136,6.2189465,0.17768417,8.0,11.255926,0.7107367265918415,0.37,0.30279997587204
Hlayisi Chauke,Polokwane City,488.03333,Centre Forward,0.1886253476142883,0.17392543,0.9220682,0.0,-0.119842805,0.031708196,0.73765457,4.6103406,0.011488962,3.8726864,13.850777,1.2908955,0.18441364,9.0,5.4225926,1.659722694269896,0.3,
Lehlohonolo Bradley Mojela,TS Galaxy FC,852.5167,Centre Forward,0.1249982943901648,0.17154855,1.3724071,0.10556978,0.029696984,0.09294497,0.7389884,4.328361,0.15710379,4.4339304,27.628986,0.6334187,0.7389884,9.0,9.472408,0.9501279927976076,0.46,0.0761665900548299
Ashley Cupido,Cape Town Spurs,703.6333,Left Centre Forward,0.1242024691208549,0.36538792,2.9418733,0.3837226,-0.052314814,0.05487934,0.7674452,6.6511917,0.09236733,3.1976883,17.467339,0.8953527,0.2558151,10.0,7.8181477,1.279075349267193,0.61,0.327357121876308
Luke Junio Baartman,Cape Town Spurs,449.3,Centre Forward,0.0922276576360066,0.16626842,1.8028044,0.4006232,-0.04517498,0.044973847,1.001558,4.607167,0.033361502,2.6040509,9.781646,1.2018696,0.2003116,7.0,4.9922223,1.4021811488643043,,
