"","player","type","duel_outcome","interception_outcome","spad_x","spad_y"
"191","Iqraam Rayners","Carry","","",80.6433333333333,31.8325
"192","Iqraam Rayners","Carry","","",76.1366666666667,48.4075
"193","Iqraam Rayners","Carry","","",69.3766666666667,62.9425
"194","Iqraam Rayners","Carry","","",90.2633333333333,27.2425
"195","Iqraam Rayners","Ball Recovery","","",84.9766666666667,18.4875
"196","Iqraam Rayners","Ball Recovery","","",89.2233333333333,21.4625
"197","Iqraam Rayners","Ball Recovery","","",80.6433333333333,31.8325
"198","Iqraam Rayners","Pressure","","",92.69,44.9225
"199","Iqraam Rayners","Pressure","","",77.0033333333333,10.2425
"200","Iqraam Rayners","Pressure","","",93.8166666666667,26.5625
"201","Iqraam Rayners","Pressure","","",96.07,32.8525
"202","Iqraam Rayners","Pressure","","",40.69,20.9525
"203","Iqraam Rayners","Pressure","","",90.09,60.2225
"204","Iqraam Rayners","Pressure","","",83.9366666666667,51.8925
"205","Iqraam Rayners","Pressure","","",95.29,37.6125
"206","Iqraam Rayners","Pressure","","",45.1966666666667,44.0725
"207","Iqraam Rayners","Pressure","","",74.3166666666667,26.0525
"208","Iqraam Rayners","Pressure","","",82.2033333333333,25.3725
"209","Iqraam Rayners","Pressure","","",79.7766666666667,48.4075
"210","Iqraam Rayners","Block","","",76.05,19.4225
"211","Iqraam Rayners","Block","","",67.9033333333333,21.2925
"212","Iqraam Rayners","Offside","","",91.91,26.2225
"213","Iqraam Rayners","Duel","","",79.0833333333333,7.0125
"214","Iqraam Rayners","Duel","","",66.2566666666667,26.8175
"215","Iqraam Rayners","Duel","","",77.4366666666667,57.3325
"216","Iqraam Rayners","Duel","Success In Play","",72.15,51.1275
"217","Iqraam Rayners","Dispossessed","","",93.47,39.8225
"218","Iqraam Rayners","Dispossessed","","",91.0433333333333,20.0175
"219","Iqraam Rayners","Dispossessed","","",74.49,28.7725
"220","Iqraam Rayners","Foul Committed","","",96.85,23.0775
"221","Iqraam Rayners","Foul Committed","","",87.49,35.0625
"222","Iqraam Rayners","Foul Committed","","",56.4633333333333,7.1825
"223","Iqraam Rayners","Foul Committed","","",93.21,13.8125
"224","Iqraam Rayners","Foul Won","","",83.1566666666667,18.7425
"225","Iqraam Rayners","Miscontrol","","",82.9833333333333,57.5875
"226","Iqraam Rayners","Miscontrol","","",63.1366666666667,53.2525
"227","Iqraam Rayners","Miscontrol","","",83.5033333333333,49.0025
"228","Iqraam Rayners","Miscontrol","","",74.3166666666667,26.0525
"229","Iqraam Rayners","Miscontrol","","",90.09,30.5575
"230","Iqraam Rayners","Shot","","",82.55,21.7175
"231","Iqraam Rayners","Shot","","",92.0833333333333,22.5675
"232","Iqraam Rayners","Shot","","",93.21,40.7575
"233","Iqraam Rayners","Shot","","",80.99,42.7975
"234","Iqraam Rayners","Shot","","",91.91,28.0075
"235","Iqraam Rayners","Pass","","",94.1633333333333,9.3925
"236","Iqraam Rayners","Pass","","",101.963333333333,10.3275
"237","Iqraam Rayners","Pass","","",38.7833333333333,50.1925
"238","Iqraam Rayners","Pass","","",74.49,58.6925
"239","Iqraam Rayners","Pass","","",81.51,47.7275
"240","Iqraam Rayners","Pass","","",98.7566666666667,49.0025
"241","Iqraam Rayners","Pass","","",70.5033333333333,54.1025
"242","Iqraam Rayners","Pass","","",69.81,66.2575
"243","Iqraam Rayners","Pass","","",80.47,43.3075
"244","Iqraam Rayners","Pass","","",60.6233333333333,67.9575
"245","Iqraam Rayners","Pass","","",87.49,6.58750000000001
"246","Iqraam Rayners","Pass","","",74.23,56.8225
"247","Iqraam Rayners","Pass","","",85.4966666666667,49.3425
"248","Iqraam Rayners","Pass","","",92.95,44.6675
"249","Iqraam Rayners","Pass","","",81.3366666666667,51.2125
"250","Iqraam Rayners","Pass","","",70.5033333333333,38.1225
"251","Iqraam Rayners","Pass","","",83.07,20.7825
"252","Iqraam Rayners","Pass","","",97.0233333333333,6.4175
"253","Iqraam Rayners","Pass","","",80.2966666666667,48.2375
"254","Iqraam Rayners","Pass","","",73.5366666666667,44.4125
"255","Iqraam Rayners","Pass","","",81.25,28.6875
"256","Iqraam Rayners","Pass","","",75.4433333333333,21.8875
"257","Iqraam Rayners","Pass","","",81.1633333333333,35.9125
"258","Iqraam Rayners","Pass","","",75.4433333333333,54.0175
"259","Iqraam Rayners","Pass","","",44.07,56.8225
"260","Iqraam Rayners","Ball Receipt*","","",49.6166666666667,57.9275
"261","Iqraam Rayners","Ball Receipt*","","",70.33,49.6825
"262","Iqraam Rayners","Ball Receipt*","","",73.5366666666667,6.07749999999999
"263","Iqraam Rayners","Ball Receipt*","","",92.95,10.1575
"264","Iqraam Rayners","Ball Receipt*","","",101.963333333333,7.6075
"265","Iqraam Rayners","Ball Receipt*","","",91.4766666666667,28.0925
"266","Iqraam Rayners","Ball Receipt*","","",59.93,27.4975
"267","Iqraam Rayners","Ball Receipt*","","",81.6833333333333,45.7725
"268","Iqraam Rayners","Ball Receipt*","","",38.7833333333333,50.5325
"269","Iqraam Rayners","Ball Receipt*","","",95.3766666666667,32.5975
"270","Iqraam Rayners","Ball Receipt*","","",74.49,58.6925
"271","Iqraam Rayners","Ball Receipt*","","",55.1633333333333,36.5075
"272","Iqraam Rayners","Ball Receipt*","","",75.0966666666667,20.6125
"273","Iqraam Rayners","Ball Receipt*","","",98.5833333333333,19.8475
"274","Iqraam Rayners","Ball Receipt*","","",75.4433333333333,48.8325
"275","Iqraam Rayners","Ball Receipt*","","",97.7166666666667,49.6825
"276","Iqraam Rayners","Ball Receipt*","","",72.7566666666667,55.8875
